DATAFLOW,LAST UPDATE,freq,age,indic_he,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2012,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2013,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2014,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2015,5.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,DK,2016,5.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2012,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2013,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2014,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2016,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2017,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2018,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2020,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EE,2021,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2013,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2014,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,EL,2015,6.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2012,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2013,6.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2014,6.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2015,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2016,7.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2017,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2018,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2019,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2020,8.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,ES,2021,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2013,10.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2014,10.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2015,9.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2016,8.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2017,7.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2018,7.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2020,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FI,2021,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2012,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2013,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2014,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2015,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2016,9.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2017,9.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2018,9.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2019,9.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2020,9.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,FR,2021,9.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2012,10.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2013,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2014,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2015,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2016,9.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2017,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2018,8.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2019,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2020,8.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HR,2021,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2012,9.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2013,9.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2014,9.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2015,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2016,9.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2017,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2018,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2019,9.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2020,10.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,HU,2021,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2012,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2013,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2014,5.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2015,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2016,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2017,5.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2018,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2019,5.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2020,5.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IE,2021,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IS,2014,6.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IS,2015,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IS,2016,6.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IS,2017,6.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IS,2019,6.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2012,8.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2013,7.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2014,8.0,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2015,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2016,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2017,8.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2018,8.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2019,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2020,8.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,IT,2021,8.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2015,5.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2016,5.1,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2017,5.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2018,4.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2019,5.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2020,8.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LI,2021,7.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2012,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2013,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2014,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2015,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2016,7.4,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2017,7.3,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2018,7.2,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2019,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2020,7.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LT,2021,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LU,2012,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LU,2013,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LU,2014,8.7,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LU,2015,8.8,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LU,2016,8.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2012,7.5,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2013,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2014,7.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2015,7.9,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2016,7.6,
ESTAT:HLTH_CO_INPST(1.0),21/11/23 23:00:00,A,TOTAL,ALOS,NR,T,A-T_Z_XNB,LV,2017,7.8,
