DATAFLOW,LAST UPDATE,freq,isco08,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2015,8009.80,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2016,7713.11,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2017,7238.89,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,EU28,2018,7030.95,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2012,8963.53,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2013,9643.57,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2014,8587.28,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2015,8767.25,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2016,8313.62,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2017,9596.19,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2018,8551.20,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2019,8404.27,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FI,2020,8204.07,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FR,2012,13872.94,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FR,2013,13072.06,
ESTAT:HLTH_RS_GRD(1.0),12/07/22 11:00:00,A,OC221,HAB_P,FR,2014,12360.12,
