DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2015,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2016,83.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2017,83.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2018,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2019,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2020,83.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Germany,2021,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2010,81.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2011,81.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2012,82.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2013,82.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2014,82.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2015,82.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2016,82.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2017,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2018,82.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2019,83.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2020,83.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Denmark,2021,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2010,80.8,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2011,81.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2012,81.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2013,81.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2014,81.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2015,82.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2016,82.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2017,82.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2018,82.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2019,83.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2020,83.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Estonia,2021,81.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2010,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2011,83.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2012,83.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2013,84.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2014,84.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2015,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2016,84.0,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2017,83.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2018,84.4,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2019,84.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2020,83.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Greece,2021,82.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2010,85.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2011,85.6,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2012,85.5,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2013,86.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2014,86.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2015,85.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2016,86.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2017,86.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2018,86.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2019,86.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2020,85.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,Spain,2021,86.2,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2010,82.9,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2011,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2012,83.1,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2013,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2014,83.7,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2015,83.3,
ESTAT:TPS00208(1.0),12/06/23 23:00:00,Annual,Year,Females,Life expectancy in absolute value at birth,European Union - 27 countries (from 2020),2016,83.7,
